user id, text, retweet, favorite, hashtag, create time
1000842455032500224,mi stai uccidendo...ti amo😭😭😭 ,0,0,0,Oct Fri 11 09:25:55 +0000 2019,
1000842455032500224,COSA STAI COMBINANDO... ,0,0,0,Nov Tue 12 09:25:40 +0000 2019,
1000842455032500224,mi sento morire ,0,0,0,Nov Thu 14 09:25:22 +0000 2019,
1002002151751598080,RT @gingerol95: tompoleman 인스타(2)https://t.co/rDt6Z3lRUg#방탄소년단 #BTS @BTS_twt #iHeartBTS ,2965,0,3,Nov Fri 08 14:48:50 +0000 2019,
1002002151751598080,RT @gingerol95: tompoleman 인스타(1)https://t.co/rDt6Z3lRUg#방탄소년단 #BTS @BTS_twt #iHeartBTS ,7016,0,3,Nov Mon 25 14:48:23 +0000 2019,
1003395985,RT @armyindonesiaa2: tompoleman Instagram Update (3)Drama Korea baru my😆🔗https://t.co/wgofvxFTXt#MTVLAKPOPBTS #M,200,0,2,Aug Sat 31 00:28:16 +0000 2019,
1003395985,RT @armyindonesiaa2: tompoleman Instagram Update (2)🔗https://t.co/wgofvxFTXt#MTVLAKPOPBTS #MTVLAFANDOMBTSARMY #MT,201,0,3,Oct Fri 25 00:28:12 +0000 2019,
1005834633936637952,RT @1027KIISFM: OMGGG we're *minutes* away from @BTS_twt coming in studio to hang out!!! Who's excited?!https://t.c,1423,0,0,Oct Tue 22 14:43:48 +0000 2019,
1005834633936637952,RT @1027KIISFM: The guys are HERE! We have more with @BTS_twt coming up! #BTSOnSeacresthttps://t.co/PkQboszyuU ,3180,0,1,Sep Mon 02 14:43:26 +0000 2019,
1007599272508837888,RT @AppleMusic: Celebrate #LOVE_YOURSELF 轉 'Tear' 1 year anniversary by turning on your @BTS_twt playlist now. https,21310,0,1,Nov Thu 21 05:50:39 +0000 2019,
1007599272508837888,RT @AppleMusic: Name your favorite track off @BTS_twt's #LOVE_YOURSELF 轉 'Tear'. #BTSARMYhttps://t.co/IRXkoyilfO ,24607,0,2,Oct Tue 08 05:50:34 +0000 2019,
1007599272508837888,RT @AppleMusic: Reply to this tweet with your favorite @BTS_twt GIF. #BTSARMY#LOVE_YOURSELF 轉 'Tear'https://t.co/IR,27674,0,2,Nov Mon 04 05:50:28 +0000 2019,
1007599272508837888,RT @AppleMusic: What's your favorite @BTS_twt song of all time?#LOVE_YOURSELF 轉 'Tear'#BTSARMY https://t.co/IRXkoy,19711,0,2,Sep Sun 15 05:50:18 +0000 2019,
