user id, text, retweet, favorite, hashtag, create time
1003144730375385088,RT @BTSW_official: 피아노를 치는 순간 다 잊게 돼요.Ma dimentico tutto quando inizio a suonare il piano.#BTSWORLD #BTS월드(https:,54577,0,2,Sep Thu 26 05:08:58 +0000 2019,
1003495784430518272,RT @welovesehun_com: 유튜브 검색어정화🔍엑소 세훈직캠 https://t.co/J1NoTpjFMO독고 https://t.co/imXa9BJ8la비비 https://t.co/oXhvEHe,85,0,0,Nov Sun 10 10:28:41 +0000 2019,
1003495784430518272,RT @welovesehun_com: 유튜브 검색어정화🔍엑소 세훈직캠 https://t.co/J1NoTpjFMO독고 https://t.co/imXa9BJ8la비비 https://t.co/oXhvEHe,58,0,0,Sep Tue 03 21:57:14 +0000 2019,
1003495784430518272,RT @welovesehun_com: 유튜브 검색어정화🔍엑소 세훈직캠 https://t.co/J1NoTpjFMO독고 https://t.co/imXa9BJ8la비비 https://t.co/oXhvEHe,85,0,0,Aug Tue 27 10:28:41 +0000 2019,
1003495784430518272,RT @welovesehun_com: 유튜브 검색어정화🔍엑소 세훈직캠 https://t.co/J1NoTpjFMO독고 https://t.co/imXa9BJ8la비비 https://t.co/oXhvEHe,58,0,0,Nov Sun 24 21:57:14 +0000 2019,
1003495784430518272,RT @welovesehun_com: 유튜브 검색어정화🔍엑소 세훈직캠 https://t.co/J1NoTpjFMO독고 https://t.co/imXa9BJ8la비비 https://t.co/oXhvEHe,85,0,0,Aug Mon 19 10:28:41 +0000 2019,
1003495784430518272,RT @welovesehun_com: 유튜브 검색어정화🔍엑소 세훈직캠 https://t.co/J1NoTpjFMO독고 https://t.co/imXa9BJ8la비비 https://t.co/oXhvEHe,58,0,0,Oct Thu 17 21:57:14 +0000 2019,
1003515130343124992,RT @intexolteam: 190509 [INSTAGRAM] hyesoooooo (Photographer) update with EXO Xiumin (1/2)🔗 https://t.co/iqP910KB,157,0,0,Oct Thu 17 10:11:04 +0000 2019,
1003515130343124992,RT @intexolteam: 190509 [INSTAGRAM] hyesoooooo (Photographer) update with EXO Xiumin (1/2)🔗 https://t.co/iqP910KB,203,0,0,Nov Thu 14 10:10:54 +0000 2019,
1004412571170975745,RT @gsc_kahotan: ＼原型初公開／「ねんどろいど 赤司征十郎」 #kurobas #黒子のバスケ #黒バス #orangerouge #ワンホビG https://t.co/B3TJCVtoA3 ,1665,0,5,Oct Tue 08 04:00:29 +0000 2019,
1004412571170975745,RT @gsc_kahotan: ＼商品化決定／「ねんどろいど 綾波レイ」#エヴァンゲリオン #エヴァ #EVA #goodsmile #ワンホビG https://t.co/B3TJCVtoA3 ,951,0,5,Oct Sat 26 04:00:20 +0000 2019,
1004905094570102784,방탄소년단정국아 솔직히 그래미에서부터  Jungkook—Singer 로 레드카펫 키워드로 혼자 올리고 그래서 🤘💜 인기가 심상치 않다고 느꼈지만....미국 내에서 방탄소년단정국이 인기 대단하네요. ... ,0,0,0,Oct Wed 23 13:12:48 +0000 2019,
1004905094570102784,수영 사진 하나로 전 세계 SNS를 뒤흔들 수 있는 사람......방탄소년단정국이 대단하다👍👏👏👏 ,0,0,0,Sep Mon 30 13:09:36 +0000 2019,
1005086280152068097,@HunBaeBae this tweet explains it,0,0,0,Nov Sun 17 08:17:30 +0000 2019,
1005086280152068097,gak semua artikel bener pls typo itu biasa. lagian 60k dikira gbk ,0,0,0,Oct Sun 06 08:13:11 +0000 2019,
1005086280152068097,@exoIsMy64904883 ,0,0,0,Nov Fri 01 08:01:05 +0000 2019,
1005086280152068097,@Eldoradoexo2 @liebe_areeca @sekaisite ,0,0,0,Nov Sun 03 07:46:28 +0000 2019,
1006421880717185024,RT @lkjg9998: #종교자유를 외치는 #대한민국에서 일어난#강제개종교육#해외언론은 심각성 느껴 #뉴욕타임즈 에서 #보도하다!https://t.co/PqXYBxtVrK #강제개종 #구지인사건 ,139,0,9,Sep Tue 10 14:16:43 +0000 2019,
1006421880717185024,RT @lkjg9998: #종교자유를 외치는 #대한민국에서 일어난#강제개종교육#해외언론은 심각성 느껴 #뉴욕타임즈 에서 #보도하다!https://t.co/PqXYBxtVrK #강제개종 #구지인사건 #,95,0,9,Sep Sun 08 14:15:44 +0000 2019,
1006421880717185024,RT @lkjg9998: #종교자유를 외치는 #대한민국에서 일어난#강제개종교육#해외언론은 심각성 느껴 #뉴욕타임즈 에서 #보도하다!https://t.co/PqXYBxtVrK #강제개종 #구지인사건 #,106,0,9,Oct Thu 17 14:15:35 +0000 2019,
1006421880717185024,#종교자유를 외치는 #대한민국에서 일어난#강제개종교육#해외언론은 심각성 느껴 #뉴욕타임즈 에서 #보도하다!https://t.co/PqXYBxtVrK #강제개종 #구지인사건 #제보자들 ,106,13,9,Aug Mon 12 14:15:21 +0000 2019,
1006421880717185024,#종교자유를 외치는 #대한민국에서 일어난#강제개종교육#해외언론은 심각성 느껴 #뉴욕타임즈 에서 #보도하다!https://t.co/PqXYBxtVrK #강제개종 #구지인사건 #제보자들 ,95,13,9,Sep Fri 13 14:14:51 +0000 2019,
1006594930272239618,@BrenespositoOK ,0,1,0,Oct Wed 16 19:12:19 +0000 2019,
1006594930272239618,@awwjeon ,0,1,0,Oct Tue 08 19:10:51 +0000 2019,
1007116319047626752,노회찬 사망 접한 드루킹 ＂책임질 사람 따로 있.는데…＂ https:,0,0,0,Oct Mon 28 14:00:43 +0000 2019,
