user id, text, retweet, favorite, hashtag, create time
1000568198473900033,[📷] ATEEZ　¡Muy pronto!　#ATEEZ #에이티즈 ,0,0,2,Nov Sun 03 15:00:56 +0000 2019,
1000568198473900033,DEMONIOS GENTEEEEEEE SE NOS VIENEEEEEE ,0,2,0,Sep Mon 02 15:00:38 +0000 2019,
1000589142479196160,RT @JYPETWICE: TWICE TV 'FANCY SHOWCASE'English and Japanese subtitles are uploaded!https://t.co/NubsGpotZ7#TW,2494,0,4,Aug Tue 13 12:47:32 +0000 2019,
1000589142479196160,RT @JYPETWICE: TWICE TV 'FANCY SHOWCASE'https://t.co/NubsGpotZ7#TWICE #트와,2895,0,5,Nov Sat 23 12:47:16 +0000 2019,
1001176068,당신이 뭔가 중요한 목표를 세웠다면 주인다운 목소리로 뇌에그 사실을 전달하세요.https,0,0,1,Sep Fri 27 08:23:29 +0000 2019,
1001176068,당신이 뭔가 중요한 목표를 세웠다면 주인다운 목소리로 뇌에그 사실을 전달하세요.https,0,0,1,Sep Thu 26 10:23:30 +0000 2019,
1002138049495511040,RT @GObalnews: 유시민 “언론 공격 매일매일이 끔찍했다…기이한 기사 조선일보 ‘20촌’ 보도”#고발뉴스   https://t.co/ehe5hYBSnn#민동기의_뉴스비평 https://t.co/,24,0,2,Aug Wed 28 05:54:40 +0000 2019,
1002138049495511040,RT @GObalnews: 조선이 쓰고 한국당이 받고…‘알권리 운운하며 국민 우롱 ‘법대로’가 필요하다#고발뉴스 https://t.co/pmDh6Uf6dH  #민동기의_뉴스비평 https://t.co/1L,14,0,2,Nov Sun 03 05:52:50 +0000 2019,
1002399226549043200,OHYMSHSBSHWHAHBSSBHWUW ,0,0,0,Nov Fri 08 07:11:33 +0000 2019,
1002399226549043200,OHMYGOSHSHSHSBS HAJEONGWOO https://t.co/q8KziytbED ,0,0,0,Oct Tue 29 07:11:06 +0000 2019,
1002399226549043200,OHMYGOSH KIM JUNKYU https://t.co/q8KziytbED ,0,0,0,Nov Thu 07 07:10:42 +0000 2019,
1002399226549043200,AAAAAHAJSHAHSHSHWHAHWHWHE ,0,0,0,Oct Sun 27 07:10:23 +0000 2019,
1002399226549043200,THIS IS NOT A DRILL THIS IS NOT A DRILL IT'S A MOVING PICTURE WITH SOUNDS OH MY GOD IT'S A VIDEO IT'S A VIDEO ,0,0,0,Nov Tue 12 07:10:18 +0000 2019,
1002399226549043200,TREASURE 13 IS COMING PACK YOUR BAGS OHMYGOSH AAAAAH ,0,0,0,Nov Sun 10 07:09:55 +0000 2019,
1002589058982277125,▒ªº중국 ㅇF동 보는곳㏘☞㉿#만화영화ㄷㅏ운로드 #ㅇㅏㅁㅔ동영상 #ㅂㅣ스트그곳ㅇㅔㅅㅓㄱㅣㄷㅏ릴ㄱㅔ† https://t.co/hi0cDY57Rt ♬▣무료 ㅇF동↔#ㅁㅣㅁㅣ123주소 #58vod볼통 ,0,0,5,Sep Sun 15 16:51:21 +0000 2019,
1002589058982277125,https://t.co/hi0cDY57Rt◇ 화끈ㅎㅐ ㏂ ◎ ㏂♥ ▤ ↓ 중국 ㅇF동 보는곳 ▩#보ㅈㅣㅅㅏ진보는곳 #ㅇㅑ코넷#ＡＶ팝ㄴㅐ#ㅇㅏㅈㅏ르는 #ㅇㅣ토렌트ㅂㅏ로ㄱㅏㄱㅣ ,0,0,5,Sep Sun 22 19:33:26 +0000 2019,
1002589058982277125,일본 ㅇF동 보는곳▲◑#성인툰 #외국누드모델 #bj안ㄴㅏhttps://t.co/9WxXoSzLbV최고의 ㅇF동㏘#bj인ㄱㅣ#ㅇㅕㅈㅏㄱㅏ슴완전ㄴㅗ출 ,0,0,5,Oct Sat 12 23:17:37 +0000 2019,
1002589058982277125,#강간ㅎㅏㅈㅣㅁㅏㅅㅔ요#프로그램ㄷㅏㅅㅣ보ㄱㅣ●유출 ㅇF동 많은곳▣♨#7rt_동성취향↙ https://t.co/9WxXoSzLbV ▦ª무료 ㅇF동▥#일본실ㅅㅣ간방송 #ㅇㅑ프로 ,0,0,5,Nov Sun 24 03:06:22 +0000 2019,
1002589058982277125,◆†↔ㄱㅐㅉㅓ는 성인물들◈▽▼#양양회ㅅㅏ원만남 #섹ㅅㅣ만화안ㄴㅐ #일ㅂㅔㅇㅑ공식주소☎ https://t.co/u7faQgLnaP §♩각종ㄴㅏㄹㅏ ㅇF동♧#신길동ㅇㅕ관ㅂㅏㄹㅣ #유튜브ㅁㅏㅋㅔ팅 ,0,0,5,Nov Wed 27 04:17:47 +0000 2019,
1002589058982277125,♠ † 각종 ㅇF동 보는곳 ㈜ ↘＃ ℡ 휴ㄷㅐ폰으로~~ ○ ↙#60ㄷㅐ유부남실ㅈㅔ만남ㅅㅏㅇㅣ트#20ㄷㅐ유부남유부ㄴㅕㅊㅐ팅ㅇㅓ플#외국ㄹㅏㅇㅣ브방송https://t.co/u7faQgLnaP#bj엣ㅈㅣ방송ㅅㅏ고#ㅇㅑ신주 ,0,0,5,Sep Fri 06 18:47:44 +0000 2019,
1002589058982277125,각종 ㅇF동 보는곳☞↗ 각종ㄴㅏㄹㅏ ㅇF동 ◆▦https://t.co/44YixfM94O#ㅇㅏ프ㄹㅣㅋㅏ방송#외국섹ㅅㅣ란ㅈㅔㄹㅣ모델#실ㅅㅣ간ㄱㅐ인방송#ㄴㅏㅇㅣ트작업ㅈㅔ#춘ㅈㅏㄴㅔ멸ㅊㅣ국수 ,0,0,5,Nov Sat 16 19:11:22 +0000 2019,
1002589058982277125,일본 ㅇF동 많은곳‡← 화끈ㅎㅐ ♡♨https://t.co/44YixfM94O#ㅇㅐㄴㅣ영화ㄷㅏ운#밴또밤#인ㅌㅓ넷bj방송#고양ㅇㅣ방송#ㅈㅐ팬섹ㅅㅡ구입ㅅㅏㅇㅣ트 ,0,0,5,Nov Mon 18 08:27:18 +0000 2019,
1002589058982277125,ㄴㅓ무좋은곳♡☞ 한번오면 또온ㄷㅏ ▒▧https://t.co/SbsFHDUkgY#입던스ㅌㅏ킹#ㅅㅕ츠룸ㅁㅔㅇㅣㅈㅓ#일ㅂㅔㅇㅑ공식주소#ㅊㅓㄴㅕㅂㅗㅈㅣ물ㄴㅏ오ㄱㅔㅎㅏ는법#bj방송 ,0,0,5,Sep Thu 26 09:37:20 +0000 2019,
1002589058982277125,#1호선고장#|ㅈㅗ건만남|↖성인들을 위한 놀ㅇㅣㅌㅓ㉿㈜#용주골짱ㅇㅣㅇㅑ▶ https://t.co/SbsFHDUkgY ㏘●ㅇF동○#맥심코ㄹㅣㅇㅏ모델 #딸튜ㅂㅡ ,0,0,4,Oct Mon 07 16:13:49 +0000 2019,
1002589058982277125,https://t.co/ARN1SpuITk← 각종ㄴㅏㄹㅏ ㅇF동 ㈜ ▷ ◀♪ ▽ § 화끈화끈 ▣#열띤호응ㅇㅣ있ㄷㅏ면화보ㅅㅏ진의촬영순ㅅㅓ를공ㄱㅐ할ㄱㅔ요 #오팔팔넷주ㅅㅗ#외국영화볼수있는곳#젖소넷 #ㅌㅐㅇㅏ넷_ ,0,0,5,Aug Sun 18 13:44:31 +0000 2019,
1002589058982277125,질질ㅆr는 유출 ㅇF동★↕#풀ㅂㅓ전감상ㅎㅏㅅㅣ고 #ㅍㅣ팅모델들갤ㄹㅓㄹㅣ #uㅌㅗ렌트ㄷㅏ운로드https://t.co/ARN1SpuITk화끈ㅎㅐ‡#소장중인_소설ㅈㅔ목_10ㄱㅏㅈㅣ_ㄴㅏ열ㅎㅐㅅㅓ_취향공ㄱㅐ#쩍벌ㅇㅏㄴㅣ죠 ,0,0,5,Sep Sun 29 10:42:17 +0000 2019,
1002700921501913088,https://t.co/8kPshK7Hc2♭ ㅅㅓ양 ㅇF동 보는곳 ●™ 최고의 ㅇF동 △#ㅇㅑ동모음집 #뒷ㅊㅣㄱㅣ#쇼핑몰ㄴㅗ출 #몸ㅁㅐ갑#ㅇㅕㅈㅏ연ㅇㅖ인NO출 ,0,0,5,Oct Sat 05 17:44:15 +0000 2019,
1002700921501913088,#볼만한ㅇㅑ동 #19금넷 #ㅅㅓ양ㅇㅑ동★▼스트ㄹㅣ밍 ㅇF동 ㅇㅕㄱㅣㅅㅓ◑→https://t.co/8kPshK7Hc2위에클릭ª▦고수위▧▶#연ㅇㅖ인슴ㄱㅏㄴㅗ출 #근친물ㅇㅑ동 ,0,0,5,Aug Tue 27 14:52:22 +0000 2019,
1002700921501913088,https://t.co/xV0QIkcfRE◇ 유출 ㅇF동 보는곳 ▶● 무료 ㅇㅣ용 ☎#ㅇㅑ동ㄷㅏ모ㅇㅏ #흑인보ㅈㅣ#19ㅇㅑ한 #ㅁㅣㅅㅣㄴㅕ#ㅁㅣ소넷3 ,0,0,5,Oct Thu 17 00:09:19 +0000 2019,
1002700921501913088,▥↗▧☜▒♧완전 ㅉㅓ는 ㅇF동들▦▥♠▩ https://t.co/xV0QIkcfRE §#일반인팬ㅌㅣㄴㅗ출 #bjㄴㅏㅊㅔ #ㅇㅑ동국산←®화끈ㅎㅏㄷㅏ▼◁#ㅇㅕㅈㅏㄱㅏ슴ㄴㅗ출영상 #원ㄴㅏ잇 ,0,0,5,Sep Tue 24 09:42:34 +0000 2019,
1002781947607699456,RT @sdf_event: 🍒RT 추첨 티켓증정!🍓바삭한 프레즐이 수제 마카롱 위에 콕!스윗딜라잇할인티켓 예매 👉 https://t.co/DWxbAvZrVb ,48,0,0,Sep Mon 16 09:01:45 +0000 2019,
1002781947607699456,RT @sdf_event: 🍒RT 추첨 티켓증정!🍓정성 가득 담긴 꼬끄 사이달콤한 필링!스윗문문 할인티켓 예매 👉 https://t.co/DWxbAvZrVb ,51,0,0,Aug Sat 31 09:01:31 +0000 2019,
1003735864327929856,ربّي بيدك سعَادتي وشقائي. ربّي أسعَد لي قلبي، ربّي أسعَد لي قلبي ، ربّي أسعَد لي قلبي .. ,0,0,0,Oct Thu 24 13:27:01 +0000 2019,
