user id, text, retweet, favorite, hashtag, create time
1001126149227888640,,0,0,0,Nov Sun 03 08:46:14 +0000 2019,
1001126149227888640,,0,0,0,Nov Sat 09 08:45:57 +0000 2019,
1001126149227888640,https:/,0,0,0,Nov Wed 06 08:44:44 +0000 2019,
1005377924307083264,(@BTS_twt)[V LIVE]BTS Live : 호비 여기 있어요 ~!#JHOPE.. ☺오신 것을 감사합니다 #호비... ☺☺☺(https://t.co/JfnI7J32ek)_____________(#AysH..  🍁)@BTS_twt @bts_bighit @BigHitEnt@Vliveofficial ,0,1,3,Nov Sat 23 16:33:05 +0000 2019,
1005377924307083264,(@BTS_twt)[V LIVE]BTS Live : 호비 여기 있어요 ~!#JHOPE.. ☺(https://t.co/JfnI7J32ek)_____________(#AysH..  🍁)@BTS_twt @bts_bighit @BigHitEnt@Vliveofficial ,0,1,2,Nov Sat 16 16:30:19 +0000 2019,
1009955878735360000,RT @iHeartRadio: oh my my my 💜 WATCH: https://t.co/DwZ1Pxpg3U  #iHeartBTS #BTSxNYC@BTS_twt @bts_bighit @livexliv,3613,0,2,Oct Tue 08 10:26:02 +0000 2019,
1009955878735360000,RT @iHeartRadio: Dear #BTSArmy this is a special message for you 💜 WATCH: https://t.co/DwZ1Pxpg3U  #iHeartBTS #,4685,0,3,Oct Fri 18 10:25:57 +0000 2019,
1015916394896977920,RT @gingerol95: tompoleman 인스타(3)https://t.co/rDt6Z3lRUg#방탄소년단 #BTS @BTS_twt #iHeartBTS ,3944,0,3,Sep Thu 05 15:14:53 +0000 2019,
1015916394896977920,RT @gingerol95: tompoleman 인스타(2)https://t.co/rDt6Z3lRUg#방탄소년단 #BTS @BTS_twt #iHeartBTS ,3056,0,3,Nov Fri 01 15:14:23 +0000 2019,
1024560732757577729,RT @EXOXOXOID: Hanok Village Tour with EXO’s XIUMIN &amp; CHEN | VR180https://t.co/JL6f3JRno0#EXO #EXO_TEMPO #LoveShot,550,0,5,Oct Mon 07 04:05:08 +0000 2019,
1024560732757577729,RT @EXOXOXOID: Hanok Village Tour with EXO’s XIUMIN &amp; CHEN | VR180https://t.co/JL6f3JRno0#EXO #EXO_TEMPO #LoveShot,1172,0,5,Aug Mon 26 04:05:05 +0000 2019,
1030199609069641738,RT @1027KIISFM: 'We have to keep a line' - @BTS_twt on why they don't share phone passwords #BTSOnSeacrest,1350,0,1,Oct Fri 25 15:26:41 +0000 2019,
1030199609069641738,RT @1027KIISFM: Do they want to release solo music?? 'No.' - @BTS_twt #BTSOnSeacrest,2768,0,1,Aug Thu 22 15:26:37 +0000 2019,
1030199609069641738,RT @1027KIISFM: 'Our parents went to the Empire State Building together' - @BTS_twt sooo cute! #BTSOnSeacrest,3296,0,1,Nov Thu 21 15:26:31 +0000 2019,
1034371886669418496,RT @mojito_ennead: 엔네아드 18화가 업로드 되었습니다.★네이버시리즈15금 ▷ https://t.co/r1r0jiHvAx   ★마녀코믹스15금 ▷ https://t.co/5uZ1gfr,349,0,0,Nov Fri 01 15:03:58 +0000 2019,
1034371886669418496,RT @mojito_ennead: 엔네아드 20화가 업로드 되었습니다.★네이버시리즈15금 ▷ https://t.co/r1r0jiHvAx     ★마녀코믹스15금 ▷ https://t.co/5uZ1g,346,0,0,Sep Thu 19 15:02:38 +0000 2019,
