user id, text, retweet, favorite, hashtag, create time
1003637162808508417,RT @gingerol95: tompoleman 인스타(2)https://t.co/rDt6Z3lRUg#방탄소년단 #BTS @BTS_twt #iHeartBTS ,2422,0,3,Aug Mon 19 15:13:52 +0000 2019,
1003637162808508417,RT @gingerol95: tompoleman 인스타(1)https://t.co/rDt6Z3lRUg#방탄소년단 #BTS @BTS_twt #iHeartBTS ,5353,0,3,Oct Wed 23 15:13:47 +0000 2019,
1008437400815558656,RT @gingerol95: tompoleman 인스타(1)https://t.co/rDt6Z3lRUg#방탄소년단 #BTS @BTS_twt #iHeartBTS ,5888,0,3,Sep Thu 26 15:18:45 +0000 2019,
1008437400815558656,RT @gingerol95: tompoleman 인스타(2)https://t.co/rDt6Z3lRUg#방탄소년단 #BTS @BTS_twt #iHeartBTS ,2637,0,3,Nov Wed 13 15:18:41 +0000 2019,
1011915688359878656,@yubinieh aku disiniii ,0,0,0,Sep Sun 15 14:17:39 +0000 2019,
1011915688359878656,@producexfess ini lancarrr ,0,2,0,Aug Tue 13 14:16:31 +0000 2019,
1014922248233209856,[https://t.co/3x62IW89U6] : 2019.05.21모두 다같이 브이📸✌️https://t.co/Mk5c8EfaGA#있지 #ITZY ,1,3,2,Oct Sun 13 00:49:27 +0000 2019,
1014922248233209856,[https://t.co/3x62IW89U6] : 2019.05.18첫 KCON❤️ 너무나도 좋은 기억으로 남을 것 같아요 열심히 준비했는데 여러분은 어땠나요😊https://t.co/0lbg5njVKw#있지 #ITZY #유나 #YUNA ,4,7,4,Sep Mon 09 17:27:10 +0000 2019,
1014922248233209856,[https://t.co/3x62IW89U6] : 2019.05.18KCON에 있지✌️💕https://t.co/aeN0Vqil5Z#있지 #ITZY ,4,7,2,Oct Wed 30 17:24:13 +0000 2019,
1014922248233209856,[https://t.co/3x62IW89U6] : 2019.05.18Kcon 💕 너무너무 새롭고 즐거운 하루 - 다들좋은 주말 되시길 바라요 😊https://t.co/NTz8NYPoNY#있지 #ITZY #채령 #CHAERYEONG ,3,7,4,Oct Wed 30 17:22:09 +0000 2019,
1014922248233209856,[https://t.co/3x62IW89U6] : 2019.05.16🎶❤️😍보고싶어요 여러분열심히 준비중이니까 기대 많이해주세요ㅎㅎ🧡https://t.co/Bb7xBmtP2x#있지 #ITZY #유나 #YUNA ,5,8,4,Sep Sun 08 00:05:24 +0000 2019,
1014922248233209856,[https://t.co/3x62IW89U6] : 2019.05.16어제 졸업사진 찍었어요 !! 내일도 친구들이랑 재밌게 찍을 예정 ~💕...https://t.co/wHUb1wiiUY#있지 #ITZY #채령 #CHAERYEONG ,5,6,4,Nov Sun 17 00:00:16 +0000 2019,
1014922248233209856,[https://t.co/3x62IW89U6] : 2019.05.15 (2)뉴욕💙RJ IN NY💙https://t.co/89tvqrcGn0#있지 #ITZY #류진 #RYUJIN ,6,10,4,Aug Wed 14 16:35:11 +0000 2019,
1014922248233209856,[https://t.co/3x62IW89U6] : 2019.05.15 (1)뉴욕💙RJ IN NY💙https://t.co/89tvqrcGn0#있지 #ITZY #류진 #RYUJIN ,6,12,4,Oct Mon 28 16:35:08 +0000 2019,
1014922248233209856,[https://t.co/3x62IW89U6] : 2019.05.14🇺🇸❣️😍https://t.co/VyXuBZPmGb#있지 #ITZY #예지 #YEJI ,5,6,4,Nov Thu 21 07:42:46 +0000 2019,
1014922248233209856,[https://t.co/3x62IW89U6] : 2019.05.14 (3)멈버들과 뉴욕에서 너무 좋은 추억 만들었어요!! ㅎㅎ 보여주고 싶어서 올려요 ... https://t.co/O7umkw2bqX#있지 #ITZY ,5,7,2,Nov Fri 22 16:04:29 +0000 2019,
1014922248233209856,[https://t.co/3x62IW89U6] : 2019.05.14 (2)멈버들과 뉴욕에서 너무 좋은 추억 만들었어요!! ㅎㅎ 보여주고 싶어서 올려요 ... https://t.co/O7umkw2bqX#있지 #ITZY ,4,6,2,Oct Tue 29 16:04:26 +0000 2019,
1014922248233209856,[https://t.co/3x62IW89U6] : 2019.05.14 (1)멈버들과 뉴욕에서 너무 좋은 추억 만들었어요!! ㅎㅎ 보여주고 싶어서 올려요 ... https://t.co/O7umkw2bqX#있지 #ITZY ,5,8,2,Oct Thu 10 16:04:23 +0000 2019,
1014922248233209856,[https://t.co/3x62IW89U6] : 2019.05.11Photo by📸 joanne &amp; hotsseyhttps://t.co/GT5lYrvbDA#있지 #ITZY ,8,15,2,Oct Mon 28 11:15:26 +0000 2019,
1014922248233209856,[https://t.co/3x62IW89U6] : 2019.05.10 (2) Yesterday’s look💋Thank you for having us Louis Vuitton we had such a great time.https://t.co/SXNF7jyFxy#있지 #ITZY ,5,6,2,Nov Sun 24 07:06:03 +0000 2019,
