user id, text, retweet, favorite, hashtag, create time
1002002151751598080,RT @gingerol95: tompoleman 인스타(2)https://t.co/rDt6Z3lRUg#방탄소년단 #BTS @BTS_twt #iHeartBTS ,1749,0,3,Oct Sat 19 14:48:50 +0000 2019,
1002002151751598080,RT @gingerol95: tompoleman 인스타(1)https://t.co/rDt6Z3lRUg#방탄소년단 #BTS @BTS_twt #iHeartBTS ,3748,0,3,Oct Tue 22 14:48:23 +0000 2019,
1004638594089140224,RT @WinnerChart: 190515 21 KST #AHYEAHMelon 1st ▲1Genie 1st ▲2Bugs 1stMnet 1st ▲2Naver 1stSoribada 1st#WINNER ,1520,0,2,Aug Tue 20 13:15:24 +0000 2019,
1004638594089140224,RT @WinnerChart: 190515 22 KST #AHYEAHMelon 1stGenie 1stBugs 1stMnet 1stNaver 1stSoribada 1st#WINNER ,772,0,2,Oct Fri 04 13:15:22 +0000 2019,
1014424755733028865,https://t.co/tcsHCI9XnZ최초부터,0,0,0,Aug Fri 30 13:33:17 +0000 2019,
1014424755733028865,https://t.co/tcsHCI9XnZ최초부터,0,0,0,Aug Fri 16 14:52:33 +0000 2019,
1014770443109068800,RT @BTSdailyinfo: [INSTAGRAM] 190522 #iHeartBTS tompoleman's Instagram update - #BTS ft. @halsey (3)(https://t.,283,0,2,Sep Mon 09 14:55:37 +0000 2019,
1014770443109068800,RT @BTSdailyinfo: [INSTAGRAM] 190522 #iHeartBTS tompoleman's Instagram update - #BTS ft. @halsey (2)(https://t.,357,0,2,Nov Tue 12 14:53:36 +0000 2019,
1015094028004716545,190512 @/MBC_entertain twitter update with #YoungjaeLink: https://t.co/YLd7nt2buO ,2,7,1,Aug Mon 26 16:57:36 +0000 2019,
1015094028004716545,190519 @/MBC_entertain twitter update with #YoungjaeLink: https://t.co/YLd7nt2buO ,0,3,1,Oct Sat 12 16:57:32 +0000 2019,
1017342426854244352,『 프로듀스101 연습생 FFiLu 』1차: 19등2차: 21등3차: 6등최종: 2등 데뷔-종영 이후-활동: 연예계 은퇴팔로워: 1M주요 응원 광고: 스크린도어CF: 패딩 전속: 보험방송: 3대 방송사 예능콘서트 장소: 올림픽체조경기장#프듀101에_나간다면https:,0,0,1,Oct Wed 02 12:01:24 +0000 2019,
1017342426854244352,『 프로듀스101 연습생 MIlKi♪ 』1차: 34등2차: 31등3차: 12등최종: 7등 데뷔-종영 이후-활동: 그룹 데뷔팔로워: 1.2M주요 응원 광고: 지하철 포스터CF: 커피 전속: 시공업체방송: 유명 케이블 MC콘서트 장소: 잠실체육관#프듀101에_나간다면,0,0,1,Aug Tue 20 11:57:57 +0000 2019,
1018413152361500673,MY BBABBYYY i missed him so much im gonna sob ,0,1,0,Aug Tue 13 20:48:42 +0000 2019,
1018413152361500673,OHYF ,0,1,0,Nov Sun 24 20:47:50 +0000 2019,
1021339208873533440,RT @1027KIISFM: 'Our parents went to the Empire State Building together' - @BTS_twt sooo cute! #BTSOnSeacrest,3255,0,1,Nov Fri 08 16:06:09 +0000 2019,
1021339208873533440,RT @1027KIISFM: 'We have to keep a line' - @BTS_twt on why they don't share phone passwords #BTSOnSeacrest,1328,0,1,Oct Sat 05 16:06:06 +0000 2019,
1021339208873533440,RT @1027KIISFM: Do they want to release solo music?? 'No.' - @BTS_twt #BTSOnSeacrest,2706,0,1,Sep Sun 15 16:06:03 +0000 2019,
1021339208873533440,RT @1027KIISFM: The guys are HERE! We have more with @BTS_twt coming up! #BTSOnSeacresthttps://t.co/PkQboszyuU ,3523,0,1,Nov Tue 05 16:05:21 +0000 2019,
1028753587843686400,🎧 Join us. Escuche.8-9 pm EST#KPop New Music MondaysLos estrenos más recientes de k-pop (Lunes)👉 https://t.co/qxz2TYZfvd#kpop #kpopradio#kpophighwayradio 📻 ,0,1,4,Aug Fri 16 00:22:42 +0000 2019,
1028753587843686400,#KPop x #Billboard 🌎 Albums#bts #blackpink #wayv #monstax #nct127 #crazyrichasians 👏-🎧 Tune In. Escuche.https://t.co/qxz2TYZfvd#kpophighwayradio#KpopRadio ,0,0,10,Nov Sun 24 02:40:31 +0000 2019,
1028753587843686400,#10GETHERwith2NE1 We’re playing #2NE1 all day today! 05.19 Post your fave songs. Join us!Estamos tocando sus canciones todo el día hoy. ¡ Publique sus solicitudes de canciones ahora!-🎧 Tune In. Escuche.👉 https://t.co/f9p1XdU4LI#kpop  #10yearswith2ne1 ,0,0,4,Aug Mon 19 17:32:55 +0000 2019,
1028753587843686400,#10yearswith2ne1 Post your fave 2NE1 songs. Join us Sunday! We’re playing them all day!Estamos tocando sus canciones todo el día domingo. ¡ Publique sus solicitudes de canciones ahora! 👏-🎧 Join us. Escuche.https://t.co/f9p1XdU4LI#kpophighwayradio #kpop #KpopRadio #2NE1 ,1,1,5,Nov Thu 14 21:21:27 +0000 2019,
1033107161877020677,eu te amo muito sofro 🤘 ,0,0,0,Sep Sun 29 14:09:19 +0000 2019,
1033107161877020677,o óculos 😭😭😭😭 ,0,0,0,Oct Thu 03 14:09:18 +0000 2019,
1033107161877020677,PQ VC EH TÃO LINDO MINGI ,0,0,0,Oct Thu 03 14:09:17 +0000 2019,
1033107161877020677,sjsjjsjsjsisoso 🌸💓🌸💓💝💗💗💓💗💓🌸💕💕🌸💖🌸💓💗💓💓💗💓🌸💖🌸💕🌸💕🌸💖💓🌸💓💗💓💗💓💗 ,0,0,0,Nov Tue 05 14:09:17 +0000 2019,
1033107161877020677,iti tao perfeitinho ,0,0,0,Nov Tue 12 14:09:03 +0000 2019,
1048860727476244481,RT @RVsmtown: Red Velvet JAPAN 2nd Mini Album「SAPPY」🎧2019.5.29 Release👉https://t.co/GMAMkglsCS#RedVelvet#SAPPY ,29464,0,2,Sep Tue 24 09:04:55 +0000 2019,
1048860727476244481,RT @RVsmtown: Red Velvet JAPAN 2nd Mini Album「SAPPY」🎧2019.5.29 Release👉https://t.co/GMAMkglsCS#RedVelvet#SA,25963,0,5,Sep Wed 18 09:05:47 +0000 2019,
1051297111185141760,RT @BTS_Thailand: [📷​ IG​ : tompoleman]​ BTS and Halsey take NY!(https://t.co/nEMPLrzisK) ,2051,0,0,Oct Sat 05 15:49:20 +0000 2019,
1051297111185141760,RT @BTS_Thailand: [📷​ IG​ : tompoleman]​ BTS and Halsey take NY!(https://t.co/nEMPLrzisK) ,1302,0,0,Aug Sun 18 15:49:16 +0000 2019,
1056012029423706112,RT @AB6IX: [#AB6IX/📋] AB6IX https://t.co/0OVUO6jvd5 엠카운트다운 사전녹화 참여 명단 안내LINK: https://t.co/0e0COs3pn6#BREATHE #B_,1678,0,5,Sep Tue 03 07:51:39 +0000 2019,
1056012029423706112,RT @AB6IX: [#AB6IX/📋] AB6IX https://t.co/0OVUO6jvd5 엠카운트다운 사전녹화 참여 안내https://t.co/7XQ3jBgrjV#에이비식스 #임영민 #전웅 #김동현 ,1857,0,8,Sep Sun 29 13:28:47 +0000 2019,
1058574977203499008,@chansaddict ,0,0,0,Nov Thu 07 16:35:35 +0000 2019,
1058574977203499008,@hynskskies ini penganut kapal perkapalan kkkk,0,0,0,Nov Tue 26 16:16:58 +0000 2019,
