user id, text, retweet, favorite, hashtag, create time
1005539977059491840,RT @gingerol95: tompoleman 인스타(3)https://t.co/rDt6Z3lRUg#방탄소년단 #BTS @BTS_twt #iHeartBTS ,3792,0,3,Nov Wed 13 15:49:41 +0000 2019,
1005539977059491840,RT @gingerol95: tompoleman 인스타(1)https://t.co/rDt6Z3lRUg#방탄소년단 #BTS @BTS_twt #iHeartBTS ,6951,0,3,Nov Mon 11 15:48:31 +0000 2019,
1023484086357114880,RT @MarkasLotto: 190521 | Nature Republic Weibo Update with EXO [3/3]🔗https://t.co/BvzOEEiN3s#EXO #CHANYEOL #KYUN,19,0,5,Sep Mon 23 07:54:18 +0000 2019,
1023484086357114880,RT @MarkasLotto: 190521 | Nature Republic Weibo Update with EXO [2/3]🔗https://t.co/BvzOEEiN3s#EXO #XIUMIN #SUHO #,21,0,5,Sep Tue 10 07:54:01 +0000 2019,
1023484086357114880,RT @MarkasLotto: 190521 | Nature Republic Weibo Update with EXO [1/3]🔗https://t.co/BvzOEEiN3s#EXO #CHANYEOL #KYUN,32,0,5,Oct Thu 03 07:53:57 +0000 2019,
1035913700576612352,화린가(이) 미연시 공략캐가 되었다.어 개똑같https://t.co/AGlOTzKs9i퍼스널 컬러: 코랄특이사항: 최연장자플레이어들의 반응: 지금... 화린의 이름을 말했나요? 큭... 크흣... 끅.. 흑흐엉...,0,0,0,Oct Sun 20 15:11:53 +0000 2019,
1035913700576612352,레페가(이) 미연시 공략캐가 되었다.어 이거 좀 비슷하다ㅋㅋㅋㅋ인성 개바닥임https://t.co/IBrdsX293p퍼스널 컬러: 코랄특이사항: 개그성 짙음플레이어들의 반응: ㅁ ㅓ가 어케댄거임????,0,0,0,Oct Mon 07 15:10:58 +0000 2019,
1035913700576612352,아현님 아래의 질문에 대답해주세요!1. 상추 vs 깻잎2. 초코파이 vs 몽쉘3. 축구 vs 야구1. 쌈싸먹을땐 깻잎2. !!몽쉘!!3. 둘다 안좋아하고 배구랑 수영좋아함#당신의양자택일,0,0,1,Sep Sat 28 15:09:41 +0000 2019,
1035913700576612352,임현희님 아래의 질문에 대답해주세요!1. 사랑 vs 우정2. 귀걸이 vs 목걸이3. 말랑한 복숭아 vs 딱딱한 복숭아1. 둘다 똑같은데..우정?2. 귀걸이3. 말봉이 진짜 개꿀맛이지..#당신의양자택일,0,2,1,Oct Sat 19 15:09:02 +0000 2019,
1040494902646210563,세븐틴 홈 HOME YMMD 앨범 / 포카 판매❤️포카렌큘은 타래 참고해주세요!https://t.co/Ndy40hhIuS     #세븐틴⁠ ⁠ #세븐틴포카 #홈포카 #홈 #HOME #양도 #앨범 ,0,0,7,Aug Mon 26 06:03:02 +0000 2019,
1040494902646210563,세븐틴 홈 HOME YMMD 앨범 / 포카 판매❤️포카렌큘은 타래 참고해주세요!https://t.co/Ndy40hhIuS     #세븐틴⁠ ⁠ #세븐틴포카 #홈포카 #홈 #HOME #양도 #앨범 ,0,0,7,Oct Sun 06 06:02:47 +0000 2019,
1040494902646210563,세븐틴 홈 HOME YMMD 앨범 / 포카 판매❤️포카-0.3렌큘-0.4비하인드카드-0.4앨범만(구성품X)-0.2준등기-0.1택배-0.4포카렌큘은 타래 참고해주세요!https://t.co/Ndy40hhIuS     #세븐틴⁠ ⁠ #세븐틴포카 #홈포카 #홈 #HOME #양도 #앨범 ,0,0,7,Aug Tue 13 06:01:57 +0000 2019,
1040494902646210563,세븐틴 어쩌나 YMMD 앨범 / 포카 판매❤️셋더썬 밋 팔로우https://t.co/Ndy40hhIuS   #세븐틴 #세븐틴포카 #어쩌나포카 #어쩌나 #양도 #앨범 ,0,0,6,Nov Mon 25 06:01:11 +0000 2019,
1040494902646210563,세븐틴 어쩌나 YMMD 앨범 / 포카 판매❤️포카-0.3렌큘-0.3앨범만(포카와 렌큘 없음)-0.2준등기-0.1포카렌큘은 타래 참고해주세요!https://t.co/Ndy40hhIuS   #세븐틴 #세븐틴포카 #어쩌나포카 #어쩌나 #양도 #앨범 ,0,0,6,Sep Fri 06 06:00:18 +0000 2019,
1040494902646210563,🌸일본 하루 HARU 콘서트 우치와 양도🌸💎하나우치와 하루우치와 전 멤버 다 있습니다가격 15000택배비용 4500 (우체국택배)🌟내일 바로 택배 보내드릴수 있어요🌟구매문의https://t.co/Ndy40hhIuS #세븐틴 #우치와 #양도 #하루콘 #일콘 #HARU ,1,1,6,Sep Mon 02 10:33:52 +0000 2019,
1040494902646210563,🌸일본 HARU 콘서트 모시모시 모시모 양도🌸가격 20000준등기 1000⚠️한국에서 전화음성은 들을수없어요구매문의https://t.co/Ndy40hhIuS#세븐틴 #모시모시 #모시모 #모시모시카드 #양도 #하루콘 #일콘 #HARU ,0,0,8,Sep Fri 27 12:44:34 +0000 2019,
1040494902646210563,🌸일본 하루 HARU 콘서트 트레카 양도🌸⚠️셋트판매각 개인별 8장씩 들어있는 셋트로 판매합니다셋트가격 - 40000준등기 비용 - 1000셋트로 판매하는 것은 개별판매 안합니다💧구매문의https://t.co/Ndy40hhIuS #세븐틴 #트레카 #양도 #하루콘 #일콘 #HARU ,0,0,6,Nov Sat 23 12:32:56 +0000 2019,
